feature_set,model,C,holdout_session,samples,accuracy,balanced_accuracy,macro_f1,threshold,cm00,cm01,cm10,cm11
lr20_rich,linear,0.001,glasses_highlight_v2,422,0.966824644549763,0.966824644549763,0.9667880913833423,-0.02777978126144997,197,14,0,211
lr20_rich,linear,0.001,glasses_test_v2,422,0.8412322274881516,0.8412322274881516,0.8373739639593003,-0.010880151347741932,210,1,66,145
lr20_rich,linear,0.001,noglasses_highlight_v1,291,0.7319587628865979,0.743421052631579,0.7178830665208313,-0.03435354133444373,139,0,78,74
lr20_rich,linear,0.001,noglasses_test_v2,402,1.0,1.0,1.0,-0.019220417277050046,211,0,0,191
lr20_rich,linear,0.003,glasses_highlight_v1,422,0.6161137440758294,0.6161137440758293,0.6155611039881234,0.0,138,73,89,122
lr20_rich,linear,0.003,glasses_highlight_v2,422,0.9597156398104265,0.9597156398104265,0.9596501588908575,-0.22211411738559522,194,17,0,211
lr20_rich,linear,0.003,glasses_test_v2,422,0.8127962085308057,0.8127962085308057,0.8082469127281302,0.0,204,7,72,139
lr20_rich,linear,0.003,noglasses_highlight_v1,291,0.7353951890034365,0.7467105263157895,0.721945771545573,-0.008697818488906673,139,0,77,75
lr20_rich,linear,0.003,noglasses_test_v2,402,1.0,1.0,1.0,0.011523383788021271,211,0,0,191
lr20_rich,linear,0.01,glasses_highlight_v1,422,0.5924170616113744,0.5924170616113744,0.5914995159946872,0.0,135,76,96,115
lr20_rich,linear,0.01,glasses_highlight_v2,422,0.9644549763033176,0.9644549763033176,0.9644100101766006,-0.1604909136207557,196,15,0,211
lr20_rich,linear,0.01,glasses_test_v2,422,0.7938388625592417,0.7938388625592416,0.7888288785740168,0.0,200,11,76,135
lr20_rich,linear,0.01,noglasses_highlight_v1,291,0.718213058419244,0.7284172661870504,0.7069702328323018,-0.029700470352726424,133,6,76,76
lr20_rich,linear,0.01,noglasses_test_v2,402,1.0,1.0,1.0,-0.18625745339751562,211,0,0,191
lr20_rich,linear,0.03,glasses_highlight_v1,422,0.5734597156398105,0.5734597156398105,0.5720756247605742,0.0,133,78,102,109
lr20_rich,linear,0.03,glasses_highlight_v2,422,0.9715639810426541,0.971563981042654,0.9715409688659098,0.07351877797840059,199,12,0,211
