feature_set,model,C,frame_feature_count,window_size,input_dim,hw_dim_or_terms,samples,sessions,mean_accuracy,mean_balanced_accuracy,mean_macro_f1,micro_accuracy,false_closed_rate,missed_closed_rate,cm00,cm01,cm10,cm11,threshold_mean,support_vectors_mean,support_vectors_max,hw_note
avg12_contrast,linear,0.003,12,15,180,180,1959,5,0.8144460187944823,0.8164483778405064,0.8072626326106442,0.8254211332312404,0.1698880976602238,0.17930327868852458,816,167,175,801,-0.048145329483829935,0.0,0,"180 MACs/window, simple HLS update"
lr20_rich,linear,0.01,20,15,300,300,1959,5,0.8137847917786356,0.8158256333321969,0.8103417275155212,0.8182746299132211,0.10986775178026449,0.2540983606557377,875,108,248,728,-0.07528976747419955,0.0,0,"300 MACs/window, simple HLS update"
lr12_shape,linear,0.01,12,15,180,180,1959,5,0.8140225729222651,0.8155849204398018,0.8099203740772822,0.8162327718223583,0.09664292980671414,0.27151639344262296,888,95,265,711,0.0003078837573341958,0.0,0,"180 MACs/window, simple HLS update"
lr8_shape,linear,0.001,8,15,120,120,1959,5,0.8109851631080927,0.8127221620059902,0.8080748463224559,0.8249106687085248,0.1342828077314344,0.21618852459016394,851,132,211,765,-0.045234244695190884,0.0,0,"120 MACs/window, simple HLS update"
lr8_shape,linear,0.003,8,15,120,120,1959,5,0.809255549583883,0.8111504959165619,0.8057196967964352,0.8223583460949464,0.13835198372329605,0.21721311475409835,847,136,212,764,-0.05712306864016611,0.0,0,"120 MACs/window, simple HLS update"
avg12_contrast,linear,0.0003,12,15,180,180,1959,5,0.8081659907819091,0.8111151886672253,0.7960746887404435,0.819806023481368,0.20752797558494404,0.1526639344262295,779,204,149,827,-0.12889318617409712,0.0,0,"180 MACs/window, simple HLS update"
avg_diff8,linear,0.03,8,15,120,120,1959,5,0.8067669907656227,0.8096087759375937,0.7965016143031838,0.8208269525267994,0.15666327568667346,0.20184426229508196,829,154,197,779,-0.007552949795687189,0.0,0,"120 MACs/window, simple HLS update"
avg12_contrast,linear,0.001,12,15,180,180,1959,5,0.8072425530528818,0.8091888798763932,0.7966975515357,0.8167432363450741,0.15666327568667346,0.21004098360655737,829,154,205,771,-0.06844047070814294,0.0,0,"180 MACs/window, simple HLS update"
lr20_rich,linear,0.03,20,15,300,300,1959,5,0.8049217439455385,0.8066466906295368,0.8019938768216154,0.8101071975497703,0.12004069175991862,0.26024590163934425,865,118,254,722,0.020604840039537168,0.0,0,"300 MACs/window, simple HLS update"
lr12_shape,linear,0.03,12,15,180,180,1959,5,0.8036660640706177,0.804933660953502,0.8003717998137011,0.8080653394589076,0.11698880976602238,0.26741803278688525,868,115,261,715,-0.02297638039558287,0.0,0,"180 MACs/window, simple HLS update"
lr8_shape,linear,0.01,8,15,120,120,1959,5,0.8002263806778391,0.8017090144297633,0.7973192601620727,0.8147013782542113,0.14343845371312308,0.22745901639344263,842,141,222,754,-0.08319980103456633,0.0,0,"120 MACs/window, simple HLS update"
lr8_shape,linear,0.03,8,15,120,120,1959,5,0.7990651618051823,0.800577186043632,0.7959429104706885,0.81368044920878,0.14343845371312308,0.22950819672131148,842,141,224,752,-0.08496759494478423,0.0,0,"120 MACs/window, simple HLS update"
avg12_contrast,linear,0.01,12,15,180,180,1959,5,0.794563606455921,0.7971353797480848,0.7832229510100045,0.8065339458907606,0.18107833163784334,0.20594262295081966,805,178,201,775,-0.0577309496874109,0.0,0,"180 MACs/window, simple HLS update"
avg_diff8,poly2_linear,0.003,8,15,120,7380,1959,5,0.790272145404798,0.7928348266759503,0.7812320981216727,0.8085758039816233,0.16276703967446593,0.22028688524590165,823,160,215,761,-0.034034522375379336,0.0,0,7380 expanded linear terms; HLS/PS input path must change
avg_diff8,poly2_linear,0.01,8,15,120,7380,1959,5,0.7877363560854057,0.7902641493689557,0.7788892190759562,0.8065339458907606,0.16378433367243134,0.22336065573770492,822,161,218,758,0.0,0.0,0,7380 expanded linear terms; HLS/PS input path must change
