frame,time_sec,face_x,face_y,face_w,face_h,ear_right,ear_left,ear_avg,blink,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51,x52,y52,x53,y53,x54,y54,x55,y55,x56,y56,x57,y57,x58,y58,x59,y59,x60,y60,x61,y61,x62,y62,x63,y63,x64,y64,x65,y65,x66,y66,x67,y67
10,0.3347,207,162,200,189,0.313317,0.332172,0.322745,0,235.199,212.467,235.631,232.634,238.660,252.972,243.683,271.817,252.466,289.191,264.885,304.045,280.252,314.467,295.740,322.250,311.005,324.024,326.108,321.319,340.050,313.133,352.987,302.081,363.805,287.162,371.594,270.657,375.911,252.317,378.898,232.180,379.672,212.102,251.959,195.982,263.068,189.913,276.113,189.195,288.797,191.804,300.462,196.957,325.011,198.275,335.213,193.469,346.311,190.817,358.239,190.381,369.009,195.720,312.707,210.869,312.993,222.797,313.419,234.590,313.870,246.935,299.740,258.164,306.304,259.547,313.250,260.371,320.075,259.337,326.678,257.507,266.392,210.732,274.824,206.290,284.380,206.999,291.247,213.982,283.019,214.695,273.556,214.078,331.297,214.658,338.512,207.311,347.692,206.774,355.348,211.235,348.366,214.967,339.179,215.201,286.192,283.707,296.717,277.900,307.217,273.945,313.460,275.667,319.653,273.528,328.464,276.743,335.672,282.453,327.811,290.864,319.131,294.122,312.328,294.525,305.496,294.527,295.779,291.651,290.366,283.672,306.676,281.125,313.175,281.389,319.543,280.753,331.826,282.503,319.184,284.493,312.568,285.322,305.884,285.123
11,0.3682,200,167,204,178,0.336346,0.366501,0.351423,0,229.407,216.281,230.306,235.183,232.915,254.515,236.553,272.644,243.732,289.197,255.492,302.328,271.562,311.596,288.824,318.239,304.742,320.725,320.161,319.039,334.587,313.087,346.891,304.291,356.754,292.244,364.521,277.541,368.930,261.558,372.561,244.383,375.084,226.899,248.915,203.899,259.705,194.595,274.807,192.854,289.524,195.277,302.894,200.973,324.251,203.235,335.990,199.545,348.484,198.582,360.799,201.216,368.669,210.485,312.034,216.816,312.247,226.158,312.573,235.500,312.966,245.605,297.846,258.476,304.454,258.974,311.066,259.388,317.402,259.229,323.634,258.450,263.861,215.044,273.042,210.040,283.337,211.200,290.686,219.581,281.628,220.066,271.320,219.151,328.962,222.124,337.397,214.754,347.320,214.611,354.037,221.060,347.146,224.193,337.109,223.562,282.925,285.637,294.461,278.123,304.793,273.402,310.440,274.821,316.225,273.098,324.380,277.761,329.510,286.253,323.552,290.802,315.895,292.059,309.697,292.081,303.365,291.994,293.585,290.215,287.462,284.751,303.906,280.455,310.010,280.239,315.847,280.205,325.603,285.211,316.080,283.501,310.264,283.362,303.991,283.420
12,0.4017,205,157,205,191,0.298326,0.322966,0.310646,0,235.804,208.741,234.963,229.134,236.772,249.122,242.009,267.563,252.216,283.718,265.956,297.876,280.888,309.656,296.907,319.425,313.538,321.671,329.412,318.656,343.875,308.669,357.346,295.373,368.623,279.729,375.947,261.578,379.171,242.682,381.103,222.997,380.415,203.169,252.024,195.465,263.504,188.678,277.038,187.858,289.861,189.279,302.360,192.996,322.741,191.345,334.157,186.972,346.087,184.521,358.278,185.219,368.649,191.027,312.471,209.255,312.812,220.688,313.228,231.980,313.632,244.019,298.298,256.782,306.114,257.957,314.011,259.237,321.445,257.413,328.761,255.732,265.747,210.095,274.552,206.095,283.972,206.481,290.525,212.818,283.270,213.802,273.992,213.592,332.848,210.802,338.915,203.587,348.189,202.794,356.019,206.248,349.428,210.163,340.403,211.225,287.955,282.826,297.702,276.686,307.280,272.733,313.757,274.517,320.106,272.435,329.527,275.986,338.692,281.130,329.900,291.106,321.143,295.318,314.220,296.019,307.094,295.751,297.449,292.199,292.441,282.945,307.345,282.348,313.906,282.488,320.462,281.953,334.351,281.834,320.416,283.143,313.625,283.853,306.948,283.335
13,0.4351,204,163,204,185,0.313812,0.329284,0.321548,0,233.573,213.098,233.642,233.072,236.016,253.297,240.336,272.021,248.194,289.039,260.161,303.505,275.801,313.717,292.338,320.169,308.354,322.420,324.029,320.726,338.735,313.459,351.720,303.138,362.651,289.117,370.135,273.305,374.793,255.563,377.974,236.482,379.679,216.926,251.203,196.554,262.786,190.164,276.550,189.643,289.815,191.870,301.691,197.730,324.329,198.885,334.919,194.123,346.552,192.063,358.618,193.023,368.189,199.707,312.294,211.583,312.633,222.184,313.135,232.751,313.685,244.078,298.589,256.073,305.565,257.563,312.585,258.377,319.553,257.454,326.168,255.802,265.338,210.974,274.137,206.376,283.870,207.268,291.236,214.777,282.566,215.225,272.814,214.635,329.942,215.915,337.982,208.767,347.363,208.474,354.765,213.614,347.734,216.909,338.254,216.737,285.782,283.605,296.587,276.930,306.515,272.810,312.500,274.145,318.749,272.257,327.299,275.687,334.059,282.506,326.669,289.235,318.605,291.837,311.618,292.129,305.120,292.271,295.677,290.160,290.163,283.135,305.829,280.123,312.219,280.010,318.623,279.608,330.486,282.165,318.472,282.686,311.884,283.106,305.507,283.134
14,0.4686,202,170,200,176,0.277373,0.302643,0.290008,0,230.043,223.915,231.075,241.084,233.255,259.084,237.086,276.016,244.329,291.496,256.238,303.575,272.152,311.957,288.677,319.150,305.299,321.656,321.839,319.786,336.788,313.209,349.534,304.205,360.006,292.433,367.662,278.519,371.298,262.705,373.189,245.684,374.229,228.558,248.984,209.175,258.489,199.218,272.735,195.229,287.614,195.876,301.423,200.788,322.637,201.829,334.628,198.194,347.218,197.646,359.785,201.087,367.599,210.663,310.931,215.186,311.554,223.952,312.260,232.894,312.872,242.792,296.805,255.246,304.262,256.197,311.745,257.074,318.646,256.312,325.344,254.994,263.216,218.053,272.188,213.257,281.807,213.502,289.855,220.063,280.906,220.865,271.205,220.593,328.768,221.195,337.305,215.172,346.343,214.909,353.162,220.373,346.284,222.641,337.106,222.210,280.348,282.449,292.492,274.568,303.894,269.960,310.999,271.363,317.797,269.603,327.655,274.174,334.599,282.173,326.881,288.511,317.469,290.700,310.169,290.669,302.301,290.536,291.591,288.226,285.100,281.575,303.081,276.881,310.595,277.072,317.505,276.820,330.889,281.320,317.607,282.393,310.602,282.655,302.902,282.364
15,0.5021,208,155,200,193,0.302011,0.315944,0.308977,0,236.969,211.309,236.809,231.343,239.761,250.835,245.168,268.967,254.902,284.841,267.835,298.447,281.670,309.639,297.807,319.550,315.052,321.755,331.593,318.776,346.171,308.661,358.848,295.401,369.081,279.283,375.601,261.173,378.519,242.478,380.374,223.175,379.740,204.213,252.365,195.522,262.556,187.718,275.804,186.170,288.926,187.469,300.828,191.691,322.476,190.512,333.958,185.624,346.034,182.942,358.564,183.718,368.826,190.373,311.691,208.185,312.007,219.402,312.362,230.470,312.780,242.158,298.526,255.741,305.887,256.521,313.419,257.635,320.700,255.956,327.978,254.403,265.518,209.517,273.989,205.204,283.522,205.414,290.250,211.830,282.900,212.858,273.548,212.725,332.432,210.004,338.861,202.903,348.309,202.083,356.007,205.603,349.565,209.413,340.404,210.464,288.172,281.762,296.593,274.894,305.646,270.786,313.340,272.782,320.185,270.552,329.940,274.257,339.258,280.334,330.994,289.746,322.038,294.066,314.418,294.707,306.273,294.267,296.941,290.535,292.433,281.527,305.738,280.111,313.595,280.642,320.568,279.796,335.161,280.644,321.176,282.005,313.889,282.898,306.013,281.977
16,0.5356,205,162,203,183,0.327929,0.350461,0.339195,0,234.289,208.460,234.454,229.360,237.273,250.239,242.297,268.710,250.578,285.034,262.143,299.055,277.225,309.529,292.646,317.437,307.095,319.955,321.612,318.260,336.190,310.979,349.199,300.714,360.561,287.129,369.409,271.345,374.466,253.250,377.636,233.857,379.013,214.075,251.502,196.495,262.790,189.545,276.653,188.779,289.988,191.300,302.716,196.850,323.558,198.024,334.858,194.149,346.281,192.557,358.189,192.960,368.276,199.059,312.280,210.936,312.501,222.136,312.873,233.277,313.294,245.140,297.976,255.980,304.904,257.174,311.794,257.913,318.713,257.135,325.356,255.657,266.073,209.144,274.719,204.770,284.266,205.823,290.996,213.293,282.623,213.818,273.188,213.038,330.231,214.770,337.742,207.437,346.843,206.991,354.210,211.859,347.240,215.608,338.220,215.728,285.819,281.877,296.274,275.146,306.120,270.758,311.822,272.451,317.838,270.500,326.044,274.314,332.202,280.918,325.042,287.792,317.169,290.183,310.497,290.568,304.249,290.466,295.116,288.278,290.046,281.466,305.294,278.049,311.424,278.098,317.567,277.884,328.774,280.629,317.267,280.630,310.949,281.047,304.809,281.070
17,0.5690,203,169,204,176,0.286330,0.315349,0.300840,0,232.146,220.351,233.264,238.725,235.509,257.721,239.517,275.104,247.176,290.552,259.278,302.921,275.478,311.729,292.025,318.567,307.273,320.479,322.406,318.662,336.775,311.740,349.113,302.953,359.888,291.432,368.104,277.516,372.640,261.045,375.758,243.817,378.292,226.403,251.353,208.202,260.333,198.030,274.588,194.060,289.594,194.754,303.457,199.383,323.089,200.383,335.709,196.844,348.969,196.738,361.635,200.857,368.885,211.286,312.467,213.727,312.642,223.159,312.993,232.528,313.330,242.730,297.717,254.205,304.736,255.597,311.995,256.398,318.715,255.662,325.169,254.231,266.369,216.435,275.146,211.596,284.657,212.122,291.994,218.416,283.496,219.292,273.980,218.959,329.546,219.677,338.042,213.384,347.107,213.392,353.919,219.065,347.136,221.336,337.952,220.816,283.250,282.101,294.401,273.856,304.797,269.014,311.666,270.341,318.430,268.561,327.606,272.949,334.124,281.143,326.815,287.118,318.225,289.615,311.036,289.936,303.545,289.944,293.918,287.974,287.448,281.056,304.075,275.536,311.370,275.531,318.174,275.249,330.464,280.201,318.355,281.383,311.355,281.868,304.002,281.728
18,0.6025,206,154,203,192,0.319114,0.343605,0.331360,0,235.668,206.828,235.220,226.803,237.012,246.688,241.952,265.144,251.577,281.702,264.962,295.620,279.971,307.094,296.013,317.208,313.337,319.486,329.867,316.819,344.448,307.696,357.934,295.196,368.444,279.761,375.091,261.936,378.256,242.929,380.264,223.037,379.913,203.209,252.632,192.633,263.032,185.238,276.394,184.140,289.406,185.717,301.792,189.672,323.325,189.258,335.529,184.345,348.078,181.736,360.329,182.733,369.927,189.648,312.562,206.525,312.882,217.341,313.293,228.013,313.685,239.363,298.530,252.645,306.022,254.070,313.759,255.273,320.937,253.769,328.281,252.252,266.000,206.828,274.583,202.658,284.128,202.943,290.846,209.488,283.628,210.845,274.137,210.676,332.803,208.570,338.960,201.477,348.182,201.021,355.952,204.761,349.446,208.676,340.415,209.712,288.296,279.292,297.669,272.938,307.093,268.984,313.701,270.926,320.295,268.861,329.855,272.648,338.266,278.523,330.374,287.212,321.426,291.260,314.202,291.878,306.864,291.613,297.567,287.803,292.913,279.002,307.032,278.059,313.661,278.494,320.445,277.748,333.815,278.517,320.740,279.941,313.801,280.858,306.918,279.857
19,0.6360,208,162,198,183,0.310338,0.330871,0.320604,0,236.842,209.870,237.427,229.805,240.509,249.802,245.117,267.987,253.555,284.579,265.206,298.604,279.719,309.205,294.785,317.128,310.591,319.543,326.316,317.947,340.589,309.985,352.950,298.570,363.574,284.146,371.220,268.158,375.398,249.459,378.119,230.131,378.996,210.602,251.398,194.162,262.935,188.334,276.364,188.498,289.131,190.745,301.371,195.267,323.812,196.314,335.202,192.509,346.809,190.629,359.074,190.239,370.334,195.211,311.803,209.040,312.168,220.035,312.653,230.941,313.107,242.578,298.768,252.853,305.671,254.146,312.887,255.127,319.695,253.746,326.536,252.187,266.120,207.980,274.181,203.731,283.738,204.391,291.053,211.407,282.607,212.000,273.132,211.589,331.226,212.148,338.486,205.042,347.904,204.770,355.357,209.198,348.508,212.875,338.947,212.989,286.342,279.186,296.581,272.952,306.612,268.400,313.113,270.011,319.414,267.780,329.031,271.485,336.492,277.746,329.020,286.499,320.008,290.005,312.924,290.571,305.863,290.509,296.094,287.588,290.507,278.964,306.189,276.512,312.972,276.525,319.485,275.945,332.691,277.594,319.730,279.292,312.945,279.928,306.072,279.721
