feature,n_frames,open_mean,closed_mean,gap_open_minus_closed,separation_rough,acc_if_open_high,acc_if_closed_high,best_acc_allow_flip,best_direction,threshold_if_open_high
col_run_max_fixed,5089,0.6963391343328317,0.477421875593147,0.21891725873968465,1.277527153490444,0.8207899390842994,0.17921006091570052,0.8207899390842994,open_high,0.5868805049629894
col_run_topk_fixed,5089,0.6020078898201616,0.3969506985005925,0.20505719131956912,1.1986489864234187,0.7828650029475339,0.2171349970524661,0.7828650029475339,open_high,0.49947929416037706
row_sigma_fixed,5089,0.19141184129112013,0.15797760591506396,0.033434235376056165,0.9282801177615695,0.7362939673806249,0.26370603261937514,0.7362939673806249,open_high,0.17469472360309204
h_edge_density,5089,0.033013735563174565,0.003458325157829461,0.029555410405345105,1.4132079093268428,0.7305954018471212,0.26940459815287876,0.7305954018471212,open_high,0.018236030360502014
col_run_topk_adapt,5089,0.44381037958112546,0.25893081360888315,0.1848795659722423,0.9725553274406054,0.6999410493220672,0.3000589506779328,0.6999410493220672,open_high,0.3513705965950043
row_sigma_adapt,5089,0.1481153989234414,0.10919493138082915,0.03892046754261223,0.5595267250591712,0.6932599724896836,0.30674002751031637,0.6932599724896836,open_high,0.12865516515213526
vertical_contrast,5089,0.06175180231658973,0.03766713985637478,0.02408466246021495,1.0514753005387156,0.6749852623305168,0.3250147376694832,0.6749852623305168,open_high,0.04970947108648226
max_active_row_run_fixed,5089,0.4934678983985116,0.43727533314496625,0.056192565253545324,0.33335412551546745,0.6451169188445667,0.35488308115543327,0.6451169188445667,open_high,0.4653716157717389
largest_blob_h_fixed,5089,0.7168489450947434,0.6356271863119854,0.08122175878275795,0.48462100245884987,0.6376498329730792,0.3623501670269208,0.6376498329730792,open_high,0.6762380657033644
active_row_frac_fixed,5089,0.5081304158461178,0.45010611888277074,0.0580242969633471,0.35440255734259174,0.6160345843977205,0.3839654156022794,0.6160345843977205,open_high,0.4791182673644443
center_dark_ratio_adapt,5089,0.1892999101049694,0.13852156199945465,0.050778348105514765,0.5369451545860628,0.6028689329927294,0.3971310670072706,0.6028689329927294,open_high,0.163910736052212
center_dark_ratio_fixed,5089,0.29297897199108425,0.2290368723318803,0.06394209965920394,0.4677581392749105,0.5763411279229711,0.4236588720770289,0.5763411279229711,open_high,0.2610079221614823
v_edge_density,5089,0.07048656759748012,0.06193882940358507,0.008547738193895052,0.12690359530189443,0.5604244448811161,0.43957555511888385,0.5604244448811161,open_high,0.0662126985005326
col_run_mean_fixed,5089,0.2816482747166312,0.2273479415731845,0.05430033314344668,0.40506039851183967,0.5445077618392612,0.45549223816073886,0.5445077618392612,open_high,0.2544981081449078
t_adapt,5089,64.46831501831502,66.16892751165749,-1.7006124933424616,-0.11308912961952823,0.5378266850068776,0.4621733149931224,0.5378266850068776,open_high,65.31862126498626
largest_blob_area_fixed,5089,0.2709478089359567,0.2224813053132331,0.04846650362272362,0.3382838619035169,0.5223030064845746,0.47769699351542544,0.5223030064845746,open_high,0.2467145571245949
dark_ratio_fixed,5089,0.1672425159355412,0.13634383524785013,0.030898680687691082,0.3374435774167372,0.5057968166633916,0.4942031833366084,0.5057968166633916,open_high,0.15179317559169567
