rank_score,C,class_weight,multi_class,fit_seconds,val_accuracy,val_macro_f1,val_weighted_f1,val_blink_precision,val_blink_recall,val_blink_f1,val_open_f1,val_closed_f1,val_confusion_matrix
0.5969993564956051,10.0,"{0: 1.0, 1: 1.8, 2: 0.7}",crammer_singer,2.715334177017212,0.8144029653163887,0.7402027397879457,0.8101220691860109,0.7475915221579962,0.5098554533508541,0.60625,0.879245283018868,0.7351129363449692,"[[2330, 120, 196], [323, 388, 50], [1, 11, 358]]"
0.5957761618955988,30.0,"{0: 1.0, 1: 1.8, 2: 0.8}",crammer_singer,6.253841161727905,0.8122848821816256,0.7361361453932793,0.8085684044336754,0.7514563106796116,0.5085413929040736,0.6065830721003135,0.8785930408472012,0.7232323232323232,"[[2323, 117, 206], [318, 387, 56], [1, 11, 358]]"
0.5952164323392504,0.03,"{0: 1.0, 1: 1.8, 2: 0.7}",crammer_singer,0.11556029319763184,0.812549642573471,0.7344164511743347,0.8086544519680327,0.7732793522267206,0.5019710906701709,0.6087649402390438,0.879199697999245,0.7152847152847153,"[[2329, 101, 216], [322, 382, 57], [1, 11, 358]]"
0.5949737071306721,3.0,"{0: 1.0, 1: 1.8, 2: 0.7}",crammer_singer,1.778045654296875,0.8133439237490071,0.7384348615965434,0.8090708050100701,0.748062015503876,0.507227332457293,0.6045418950665623,0.8786563502547651,0.7321063394683026,"[[2328, 119, 199], [324, 386, 51], [1, 11, 358]]"
0.5947702891560596,1.0,"{0: 1.0, 1: 1.8, 2: 0.7}",crammer_singer,0.7661051750183105,0.8128144029653164,0.7377957006728381,0.8086278343533926,0.748062015503876,0.507227332457293,0.6045418950665623,0.8782329620539928,0.7306122448979592,"[[2326, 119, 201], [324, 386, 51], [1, 11, 358]]"
0.5946105614187768,0.3,"{0: 1.0, 1: 1.8, 2: 0.7}",crammer_singer,0.3123764991760254,0.8130791633571618,0.737358361505415,0.8088883829155578,0.751953125,0.5059132720105125,0.6048703849175177,0.8788221970554927,0.728382502543235,"[[2328, 116, 202], [323, 385, 53], [1, 11, 358]]"
0.5945923193902536,0.1,"{0: 1.0, 1: 1.5, 2: 0.7}",crammer_singer,0.12376093864440918,0.8244638602065131,0.7445260191867998,0.8171597440391197,0.8501170960187353,0.47700394218134035,0.6111111111111112,0.8879806799182612,0.7344862665310274,"[[2390, 57, 199], [345, 363, 53], [2, 7, 361]]"
0.5941882452454214,0.1,"{0: 1.0, 1: 1.8, 2: 0.7}",crammer_singer,0.12839293479919434,0.812549642573471,0.7361692787221531,0.8084456036822744,0.7559055118110236,0.5045992115637319,0.6052009456264775,0.8786105342646782,0.7246963562753036,"[[2327, 113, 206], [323, 384, 54], [1, 11, 358]]"
0.5936280528618477,10.0,"{0: 1.0, 1: 1.8, 2: 0.8}",crammer_singer,2.7496886253356934,0.8122848821816256,0.7365540970898046,0.8081771355105816,0.7529411764705882,0.5045992115637319,0.6042486231313926,0.8781409408652938,0.7272727272727273,"[[2324, 117, 205], [322, 384, 55], [1, 9, 360]]"
0.5932699148584303,3.0,"{0: 1.0, 1: 1.8, 2: 0.8}",crammer_singer,1.4649410247802734,0.8120201217897802,0.7355009038194765,0.8080016827274281,0.7569169960474308,0.5032851511169514,0.6045777426992897,0.8783068783068783,0.7236180904522613,"[[2324, 114, 208], [321, 383, 57], [1, 9, 360]]"
0.5928483319549974,0.3,"{0: 1.0, 1: 1.8, 2: 0.8}",crammer_singer,0.4592735767364502,0.8117553613979349,0.7337468242172948,0.8078758702954387,0.7609561752988048,0.5019710906701709,0.6049089469517023,0.8788966559607028,0.717434869739479,"[[2326, 109, 211], [320, 382, 59], [1, 11, 358]]"
0.5925297542697336,0.3,"{0: 1.0, 1: 1.5, 2: 0.7}",crammer_singer,0.39917898178100586,0.8236695790309769,0.7436800099501095,0.8162823689417794,0.8438228438228438,0.4756898817345598,0.6084033613445378,0.887402452619844,0.7352342158859471,"[[2388, 60, 198], [346, 362, 53], [2, 7, 361]]"
0.5924269482171897,30.0,"{0: 1.0, 1: 1.8, 2: 0.7}",crammer_singer,6.032241106033325,0.8130791633571618,0.7372546241805612,0.8084979188683458,0.7534516765285996,0.5019710906701709,0.6025236593059937,0.8786279683377308,0.7306122448979592,"[[2331, 114, 201], [328, 382, 51], [1, 11, 358]]"
0.5922228137978267,0.1,"{0: 1.0, 1: 1.8, 2: 0.8}",crammer_singer,0.1444075107574463,0.8112258406142441,0.7328551394865395,0.8073709014508731,0.7635270541082164,0.5006570302233903,0.6047619047619047,0.8785187984129983,0.7152847152847153,"[[2325, 107, 214], [321, 381, 59], [1, 11, 358]]"
0.592095951943429,10.0,"{0: 1.0, 1: 1.5, 2: 0.7}",crammer_singer,2.468210458755493,0.8247286205983585,0.745427330777261,0.8168997692259413,0.8434579439252337,0.4743758212877792,0.607232968881413,0.8877759228343536,0.7412731006160165,"[[2393, 60, 193], [350, 361, 50], [2, 7, 361]]"
0.5918339683514002,1.0,"{0: 1.0, 1: 1.8, 2: 0.8}",crammer_singer,0.8007886409759521,0.8114906010060895,0.7343047097473002,0.8074867286849243,0.7549407114624506,0.5019710906701709,0.6029992107340174,0.8783068783068783,0.721608040201005,"[[2324, 114, 208], [321, 382, 58], [1, 10, 359]]"
0.5917501475565389,3.0,"{0: 1.0, 1: 1.5, 2: 0.7}",crammer_singer,1.1804630756378174,0.8239343394228223,0.7442652022668473,0.8162843024725615,0.8434579439252337,0.4743758212877792,0.607232968881413,0.887321329125673,0.7382413087934561,"[[2390, 60, 196], [349, 361, 51], [2, 7, 361]]"
0.5914044889284895,0.03,"{0: 1.0, 1: 1.8, 2: 0.8}",crammer_singer,0.1045541763305664,0.8083134763039449,0.7279094365056572,0.80518623418816,0.7766393442622951,0.4980289093298292,0.6068855084067254,0.8769405528209012,0.6999022482893451,"[[2316, 98, 232], [319, 379, 63], [1, 11, 358]]"
0.5913839096345593,1.0,"{0: 1.0, 1: 1.5, 2: 0.7}",crammer_singer,0.7610135078430176,0.8236695790309769,0.7440262465975306,0.816036764037524,0.8414918414918415,0.4743758212877792,0.6067226890756302,0.8871147419235054,0.7382413087934561,"[[2389, 61, 196], [349, 361, 51], [2, 7, 361]]"
0.5911921805959738,1.0,"{0: 1.0, 1: 1.8, 2: 1.0}",crammer_singer,0.77362060546875,0.8085782366957903,0.7295576798834856,0.8054227556156458,0.7692307692307693,0.49934296977660975,0.6055776892430279,0.8767538869927949,0.7063414634146341,"[[2312, 107, 227], [315, 380, 66], [1, 7, 362]]"
0.5910008126978222,30.0,"{0: 1.0, 1: 1.5, 2: 0.7}",crammer_singer,5.390035152435303,0.8228752978554408,0.7426776553378818,0.8154652413396675,0.8414918414918415,0.4743758212877792,0.6067226890756302,0.8868240104069876,0.7344862665310274,"[[2386, 61, 199], [347, 361, 53], [2, 7, 361]]"
0.5907684096239189,0.3,"{0: 1.0, 1: 1.8, 2: 1.0}",crammer_singer,0.34966421127319336,0.8085782366957903,0.7292949792889131,0.8053585516608273,0.7718940936863544,0.4980289093298292,0.6054313099041534,0.876800606520091,0.7056530214424951,"[[2313, 105, 228], [316, 379, 66], [1, 7, 362]]"
0.5907444522738167,0.3,"{0: 1.0, 1: 1.5, 2: 1.0}",crammer_singer,0.5347230434417725,0.8191686523696055,0.7365831536342574,0.8130246798989065,0.8591885441527446,0.4730617608409987,0.6101694915254238,0.8851540616246498,0.7144259077526988,"[[2370, 55, 221], [337, 360, 64], [2, 4, 364]]"
0.590427890369959,0.1,"{0: 1.0, 1: 1.8, 2: 1.0}",crammer_singer,0.17139935493469238,0.8075191951284088,0.7275366711586565,0.8045420084391528,0.7777777777777778,0.4967148488830486,0.6062550120288693,0.8761615778494216,0.7001934235976789,"[[2310, 101, 235], [316, 378, 67], [1, 7, 362]]"
0.5904259563067006,3.0,"{0: 1.0, 1: 1.8, 2: 1.0}",crammer_singer,1.2315173149108887,0.809107757479481,0.7298601842354998,0.805781342610506,0.768762677484787,0.4980289093298292,0.6044657097288676,0.8773924578358916,0.70772238514174,"[[2315, 107, 224], [315, 379, 67], [1, 7, 362]]"
0.5903823652645328,0.03,"{0: 1.0, 1: 1.5, 2: 0.7}",crammer_singer,0.05890846252441406,0.820227693936987,0.7371382710558302,0.8135831615412196,0.8530805687203792,0.4730617608409987,0.6086221470836856,0.8860759493670886,0.7167167167167167,"[[2380, 52, 214], [344, 360, 57], [2, 10, 358]]"
0.5903741737130347,1.0,"{0: 1.0, 1: 1.5, 2: 1.0}",crammer_singer,0.8064298629760742,0.8189038919777601,0.7363415264072236,0.8127747083991695,0.8571428571428571,0.4730617608409987,0.6096528365791702,0.884945834889802,0.7144259077526988,"[[2369, 56, 221], [337, 360, 64], [2, 4, 364]]"
0.5902549098278409,0.03,"{0: 1.0, 1: 1.5, 2: 0.8}",crammer_singer,0.06863594055175781,0.8196981731532963,0.7364643216229401,0.8132748750332387,0.8609112709832134,0.47174770039421815,0.6095076400679117,0.8857409133271202,0.7141444114737884,"[[2376, 51, 219], [341, 359, 61], [2, 7, 361]]"
0.5901139826308217,0.1,"{0: 1.0, 1: 1.5, 2: 1.0}",crammer_singer,0.13658547401428223,0.8173153296266878,0.7337477376058524,0.8116300131063524,0.8671497584541062,0.47174770039421815,0.6110638297872341,0.8840688107703815,0.7061105722599418,"[[2364, 51, 231], [336, 359, 66], [2, 4, 364]]"
0.5899719193943977,3.0,"{0: 1.0, 1: 1.5, 2: 1.0}",crammer_singer,1.327359676361084,0.8186391315859147,0.7357486518534572,0.81254707773339,0.8551068883610451,0.4730617608409987,0.6091370558375635,0.884945834889802,0.7131630648330058,"[[2369, 56, 221], [337, 360, 64], [2, 5, 363]]"
0.5898471796457994,0.03,"{0: 1.0, 1: 2.2, 2: 0.7}",crammer_singer,0.06354188919067383,0.7950754567116759,0.7231723623100074,0.7948715314286188,0.6721854304635762,0.533508541392904,0.5948717948717949,0.8641975308641975,0.7104477611940299,"[[2240, 186, 220], [297, 406, 58], [1, 12, 357]]"
0.5897762800464346,0.1,"{0: 1.0, 1: 1.5, 2: 0.8}",crammer_singer,0.1302626132965088,0.8210219751125232,0.738987551738299,0.8141041891906934,0.8527315914489311,0.47174770039421815,0.6074450084602369,0.886240923477937,0.7232767232767233,"[[2380, 56, 210], [343, 359, 59], [2, 6, 362]]"
0.5897591509688364,30.0,"{0: 1.0, 1: 1.8, 2: 1.2}",crammer_singer,7.244965076446533,0.8104315594387079,0.728697524568164,0.8068574411734557,0.7953091684434968,0.49014454664914586,0.6065040650406504,0.8793950850661626,0.7001934235976789,"[[2326, 89, 231], [317, 373, 71], [1, 7, 362]]"
