feature_set,model,C,frame_feature_count,window_size,input_dim,hw_dim_or_terms,samples,sessions,mean_accuracy,mean_balanced_accuracy,mean_macro_f1,micro_accuracy,false_closed_rate,missed_closed_rate,cm00,cm01,cm10,cm11,threshold_mean,support_vectors_mean,support_vectors_max,hw_note
base2,poly2_linear,0.0003,2,15,30,495,1959,5,0.7219524841226028,0.722153571729795,0.7187128405945632,0.7417049515058703,0.25839267548321465,0.2581967213114754,729,254,252,724,0.0,0.0,0,495 expanded linear terms; HLS/PS input path must change
avg2,poly2_linear,0.0003,2,15,30,495,1959,5,0.7219524841226028,0.722153571729795,0.7187128405945632,0.7417049515058703,0.25839267548321465,0.2581967213114754,729,254,252,724,0.0,0.0,0,495 expanded linear terms; HLS/PS input path must change
base2,linear,0.01,2,15,30,30,1959,5,0.7197490827972806,0.7203199949394438,0.717160473525988,0.7396630934150077,0.25940996948118006,0.2612704918032787,728,255,255,721,0.0,0.0,0,"30 MACs/window, simple HLS update"
avg2,linear,0.01,2,15,30,30,1959,5,0.7197490827972806,0.7203199949394438,0.717160473525988,0.7396630934150077,0.25940996948118006,0.2612704918032787,728,255,255,721,0.0,0.0,0,"30 MACs/window, simple HLS update"
base2,linear,0.03,2,15,30,30,1959,5,0.7183272818494132,0.7188981939915765,0.7157454194992173,0.7381316998468607,0.26042726347914547,0.26331967213114754,727,256,257,719,0.0,0.0,0,"30 MACs/window, simple HLS update"
avg2,linear,0.03,2,15,30,30,1959,5,0.7183272818494132,0.7188981939915765,0.7157454194992173,0.7381316998468607,0.26042726347914547,0.26331967213114754,727,256,257,719,0.0,0.0,0,"30 MACs/window, simple HLS update"
base2,linear,0.1,2,15,30,30,1959,5,0.717853348200124,0.7184242603422873,0.7152029645523996,0.7376212353241449,0.2614445574771109,0.26331967213114754,726,257,257,719,0.0,0.0,0,"30 MACs/window, simple HLS update"
avg2,linear,0.1,2,15,30,30,1959,5,0.717853348200124,0.7184242603422873,0.7152029645523996,0.7376212353241449,0.2614445574771109,0.26331967213114754,726,257,257,719,0.0,0.0,0,"30 MACs/window, simple HLS update"
base2,linear,0.3,2,15,30,30,1959,5,0.717379414550835,0.7179503266929983,0.7146587776514741,0.7371107708014293,0.2624618514750763,0.26331967213114754,725,258,257,719,0.0,0.0,0,"30 MACs/window, simple HLS update"
avg2,linear,0.3,2,15,30,30,1959,5,0.717379414550835,0.7179503266929983,0.7146587776514741,0.7371107708014293,0.2624618514750763,0.26331967213114754,725,258,257,719,0.0,0.0,0,"30 MACs/window, simple HLS update"
avg8_runs,poly2_linear,0.001,8,15,120,7380,1959,5,0.7140649175094869,0.7176955940859685,0.6904646166914842,0.7228177641653905,0.3031536113936928,0.2510245901639344,685,298,245,731,0.0,0.0,0,7380 expanded linear terms; HLS/PS input path must change
base2,linear,1.0,2,15,30,30,1959,5,0.716905480901546,0.7174763930437092,0.7141749850325809,0.7366003062787136,0.2634791454730417,0.26331967213114754,724,259,257,719,0.0,0.0,0,"30 MACs/window, simple HLS update"
avg2,linear,1.0,2,15,30,30,1959,5,0.716905480901546,0.7174763930437092,0.7141749850325809,0.7366003062787136,0.2634791454730417,0.26331967213114754,724,259,257,719,0.0,0.0,0,"30 MACs/window, simple HLS update"
avg6_shape,poly2_linear,0.003,6,15,90,4185,1959,5,0.7133515740785981,0.7162026627139296,0.6955812041244425,0.7289433384379785,0.3346897253306205,0.2069672131147541,654,329,202,774,0.0,0.0,0,4185 expanded linear terms; HLS/PS input path must change
avg6_shape,poly2_linear,0.0003,6,15,90,4185,1959,5,0.7116691910555202,0.7145524189279158,0.7000083936206548,0.7269014803471159,0.25940996948118006,0.28688524590163933,728,255,280,696,0.0,0.0,0,4185 expanded linear terms; HLS/PS input path must change
avg4_dark,linear,0.01,4,15,60,60,1959,5,0.7106040618230974,0.7137847890806837,0.6762707142607715,0.7223072996426748,0.29399796541200407,0.2612704918032787,694,289,255,721,0.0,0.0,0,"60 MACs/window, simple HLS update"
avg4_dark,linear,0.03,4,15,60,60,1959,5,0.7077604599273627,0.7108796574613594,0.6724301380701008,0.7192445125063808,0.301119023397762,0.26024590163934425,687,296,254,722,0.0,0.0,0,"60 MACs/window, simple HLS update"
avg8_runs,poly2_linear,0.003,8,15,120,7380,1959,5,0.7059608149704402,0.7096557700210497,0.6737325558253117,0.7136294027565084,0.3367243133265514,0.23565573770491804,652,331,230,746,0.0,0.0,0,7380 expanded linear terms; HLS/PS input path must change
avg6_shape,poly2_linear,0.001,6,15,90,4185,1959,5,0.7055552841158939,0.7083742335141615,0.6918173982848641,0.7207759060745278,0.31129196337741605,0.24692622950819673,677,306,241,735,0.0,0.0,0,4185 expanded linear terms; HLS/PS input path must change
avg4_dark,linear,0.1,4,15,60,60,1959,5,0.7041823423071285,0.7072721493545997,0.6671103812157223,0.7151607963246555,0.31027466937945064,0.25922131147540983,678,305,253,723,0.0,0.0,0,"60 MACs/window, simple HLS update"
avg4_dark,linear,0.3,4,15,60,60,1959,5,0.7034950570837608,0.7066142546177575,0.6660593157440923,0.7146503318019398,0.31027466937945064,0.26024590163934425,678,305,254,722,0.0,0.0,0,"60 MACs/window, simple HLS update"
avg4_dark,linear,1.0,4,15,60,60,1959,5,0.7030211234344718,0.7061403209684685,0.6656017224874151,0.7141398672792241,0.31129196337741605,0.26024590163934425,677,306,254,722,0.0,0.0,0,"60 MACs/window, simple HLS update"
avg8_runs,poly2_linear,0.01,8,15,120,7380,1959,5,0.6935913825118799,0.6972342420192632,0.6483618062210141,0.700357325165901,0.37843336724313326,0.22028688524590165,611,372,215,761,0.0,0.0,0,7380 expanded linear terms; HLS/PS input path must change
avg6_shape,poly2_linear,0.01,6,15,90,4185,1959,5,0.6909822315597467,0.693838817696155,0.6669458003153438,0.7039305768249107,0.3916581892166836,0.19979508196721313,598,385,195,781,0.0,0.0,0,4185 expanded linear terms; HLS/PS input path must change
