feature_set,model,C,holdout_session,samples,accuracy,balanced_accuracy,macro_f1,threshold,cm00,cm01,cm10,cm11
avg2,linear,0.1,glasses_test_v2,422,0.7867298578199052,0.7867298578199052,0.7863411341134113,0.0,157,54,36,175
avg2,linear,0.1,noglasses_highlight_v1,291,0.38144329896907214,0.38359049602423323,0.3808510638297873,0.0,60,79,101,51
avg2,linear,0.1,noglasses_test_v2,402,0.9850746268656716,0.985781990521327,0.985056502775575,0.0,205,6,0,191
avg2,linear,0.3,glasses_highlight_v1,422,0.5829383886255924,0.5829383886255924,0.5737373737373737,0.0,92,119,57,154
avg2,linear,0.3,glasses_highlight_v2,422,0.8507109004739336,0.8507109004739337,0.8473078138012233,0.0,211,0,63,148
avg2,linear,0.3,glasses_test_v2,422,0.7867298578199052,0.7867298578199052,0.7863411341134113,0.0,157,54,36,175
avg2,linear,0.3,noglasses_highlight_v1,291,0.38144329896907214,0.38359049602423323,0.3808510638297873,0.0,60,79,101,51
avg2,linear,0.3,noglasses_test_v2,402,0.9850746268656716,0.985781990521327,0.985056502775575,0.0,205,6,0,191
avg2,linear,1.0,glasses_highlight_v1,422,0.5829383886255924,0.5829383886255924,0.5737373737373737,0.0,92,119,57,154
avg2,linear,1.0,glasses_highlight_v2,422,0.8507109004739336,0.8507109004739337,0.8473078138012233,0.0,211,0,63,148
avg2,linear,1.0,glasses_test_v2,422,0.7843601895734598,0.7843601895734598,0.7839221710189452,0.0,156,55,36,175
avg2,linear,1.0,noglasses_highlight_v1,291,0.38144329896907214,0.38359049602423323,0.3808510638297873,0.0,60,79,101,51
avg2,linear,1.0,noglasses_test_v2,402,0.9850746268656716,0.985781990521327,0.985056502775575,0.0,205,6,0,191
avg2,poly2_linear,0.0003,glasses_highlight_v1,422,0.5971563981042654,0.5971563981042654,0.5843761586948462,0.0,89,122,48,163
avg2,poly2_linear,0.0003,glasses_highlight_v2,422,0.8507109004739336,0.8507109004739337,0.8473078138012233,0.0,211,0,63,148
avg2,poly2_linear,0.0003,glasses_test_v2,422,0.7819905213270142,0.7819905213270142,0.7819856244384547,0.0,164,47,45,166
avg2,poly2_linear,0.0003,noglasses_highlight_v1,291,0.3848797250859107,0.38564937523665277,0.3848797250859107,0.0,56,83,96,56
avg2,poly2_linear,0.0003,noglasses_test_v2,402,0.9950248756218906,0.9952606635071091,0.9950148809523809,0.0,209,2,0,191
avg2,poly2_linear,0.001,glasses_highlight_v1,422,0.5947867298578199,0.5947867298578199,0.5784806799263997,0.0,84,127,44,167
avg2,poly2_linear,0.001,glasses_highlight_v2,422,0.8341232227488151,0.8341232227488151,0.8294299704360679,0.0,211,0,70,141
avg2,poly2_linear,0.001,glasses_test_v2,422,0.8033175355450237,0.8033175355450237,0.8032634032634033,0.0,166,45,38,173
avg2,poly2_linear,0.001,noglasses_highlight_v1,291,0.38831615120274915,0.39016944339265425,0.3879620001890538,0.0,60,79,99,53
avg2,poly2_linear,0.001,noglasses_test_v2,402,0.9950248756218906,0.9952606635071091,0.9950148809523809,0.0,209,2,0,191
avg2,poly2_linear,0.003,glasses_highlight_v1,422,0.6161137440758294,0.6161137440758294,0.5942307692307692,0.0,81,130,32,179
avg2,poly2_linear,0.003,glasses_highlight_v2,422,0.8199052132701422,0.8199052132701421,0.8138681895210902,0.0,211,0,76,135
avg2,poly2_linear,0.003,glasses_test_v2,422,0.8222748815165877,0.8222748815165877,0.8221940079661578,0.0,169,42,33,178
avg2,poly2_linear,0.003,noglasses_highlight_v1,291,0.3951890034364261,0.39797898523286634,0.3939795531995456,0.0,64,75,101,51
avg2,poly2_linear,0.003,noglasses_test_v2,402,0.9975124378109452,0.9976303317535544,0.9975068685152224,0.0,210,1,0,191
avg2,poly2_linear,0.01,glasses_highlight_v1,422,0.6184834123222749,0.6184834123222749,0.5901256613357625,0.0,75,136,25,186
avg2,poly2_linear,0.01,glasses_highlight_v2,422,0.8056872037914692,0.8056872037914692,0.798062558356676,0.0,211,0,82,129
avg2,poly2_linear,0.01,glasses_test_v2,422,0.8293838862559242,0.8293838862559242,0.8288302499042297,0.0,163,48,24,187
avg2,poly2_linear,0.01,noglasses_highlight_v1,291,0.39862542955326463,0.4015761075350246,0.3972302775640646,0.0,65,74,101,51
avg2,poly2_linear,0.01,noglasses_test_v2,402,1.0,1.0,1.0,0.0,211,0,0,191
avg4_dark,linear,0.0003,glasses_highlight_v1,422,0.6611374407582938,0.6611374407582938,0.6602962120657724,0.0,150,61,82,129
avg4_dark,linear,0.0003,glasses_highlight_v2,422,0.8838862559241706,0.8838862559241707,0.8822993687493952,0.0,162,49,0,211
avg4_dark,linear,0.0003,glasses_test_v2,422,0.8933649289099526,0.8933649289099526,0.893335580082568,0.0,192,19,26,185
avg4_dark,linear,0.0003,noglasses_highlight_v1,291,0.48109965635738833,0.49652120408936007,0.4206473729316369,0.0,117,22,129,23
avg4_dark,linear,0.0003,noglasses_test_v2,402,1.0,1.0,1.0,0.0,211,0,0,191
avg4_dark,linear,0.001,glasses_highlight_v1,422,0.6445497630331753,0.6445497630331753,0.6419440233500011,0.0,154,57,93,118
avg4_dark,linear,0.001,glasses_highlight_v2,422,0.7180094786729858,0.7180094786729858,0.6936488473246585,0.0,92,119,0,211
avg4_dark,linear,0.001,glasses_test_v2,422,0.8957345971563981,0.8957345971563981,0.8956971126839681,0.0,193,18,26,185
avg4_dark,linear,0.001,noglasses_highlight_v1,291,0.48109965635738833,0.49652120408936007,0.4206473729316369,0.0,117,22,129,23
