feature,n_frames,open_mean,closed_mean,gap_open_minus_closed,separation_rough,acc_if_open_high,acc_if_closed_high,best_acc_allow_flip,best_direction,threshold_if_open_high
col_run_max_fixed,7611,0.5135109898389735,0.35213599982975574,0.16137499000921773,0.8123734425600807,0.7369596636447248,0.26304033635527524,0.7369596636447248,open_high,0.4328234948343646
col_run_topk_fixed,7611,0.4301230603136358,0.28327861361164264,0.14684444670199315,0.7996691517874591,0.7162002364998029,0.2837997635001971,0.7162002364998029,open_high,0.3567008369626392
col_run_topk_adapt,7611,0.4314055109895721,0.29942785122901316,0.13197765976055892,0.7733423331660978,0.7017474707659966,0.2982525292340034,0.7017474707659966,open_high,0.3654166811092926
row_sigma_adapt,7611,0.15254582650155563,0.1258153287488349,0.02673049775272074,0.4157826298612839,0.6859808172382078,0.31401918276179214,0.6859808172382078,open_high,0.13918057762519526
row_sigma_fixed,7611,0.14704504664449858,0.12275375344425797,0.024291293200240607,0.4841055989210996,0.6649586125344895,0.33504138746551043,0.6649586125344895,open_high,0.13489940004437828
max_active_row_run_fixed,7611,0.4046917290722388,0.33129524094773544,0.07339648812450339,0.45210049017056647,0.6477466824333202,0.3522533175666798,0.6477466824333202,open_high,0.36799348500998713
center_dark_ratio_fixed,7611,0.19948668353095494,0.155923010339257,0.04356367319169793,0.3553251147819892,0.6456444619629483,0.3543555380370516,0.6456444619629483,open_high,0.17770484693510596
h_edge_density,7611,0.029406100479893647,0.008277309942843727,0.02112879053704992,0.8573291441032604,0.6449875180659572,0.35501248193404283,0.6449875180659572,open_high,0.018841705211368687
col_run_mean_fixed,7611,0.1915291203626458,0.15509096147335755,0.03643815888928825,0.30327489380696465,0.632242806464328,0.36775719353567204,0.632242806464328,open_high,0.17331004091800167
largest_blob_h_fixed,7611,0.5310592605857072,0.4593169468679353,0.0717423137177719,0.33752396598695805,0.6238339245828406,0.37616607541715935,0.6238339245828406,open_high,0.4951881037268212
active_row_frac_fixed,7611,0.4271097596835051,0.35074582618511074,0.07636393349839438,0.4685659042183213,0.6201550387596899,0.3798449612403101,0.6201550387596899,open_high,0.3889277929343079
largest_blob_area_fixed,7611,0.17923355810692826,0.1467936844127274,0.03243987369420087,0.25987886962650947,0.6053081066876889,0.39469189331231114,0.6053081066876889,open_high,0.16301362125982782
center_dark_ratio_adapt,7611,0.2121867028616503,0.17306040034289408,0.039126302518756234,0.43879123338426074,0.5954539482328209,0.40454605176717906,0.5954539482328209,open_high,0.19262355160227218
dark_ratio_fixed,7611,0.12652122593222853,0.10009969367085242,0.026421532261376113,0.35403023663407496,0.539482328209171,0.4605176717908291,0.539482328209171,open_high,0.11331045980154048
v_edge_density,7611,0.0887674615474178,0.08435790969095706,0.004409551856460733,0.052830634921400124,0.5195112337406386,0.48048876625936143,0.5195112337406386,open_high,0.08656268561918742
vertical_contrast,7611,0.04943981460019941,0.041367540084403576,0.008072274515795834,0.22101359553905486,0.5112337406385494,0.4887662593614505,0.5112337406385494,open_high,0.045403677342301496
t_adapt,7611,76.02678571428571,76.45230624411673,-0.42552052983101873,-0.026075159006221486,0.5028248587570622,0.4971751412429379,0.5028248587570622,open_high,76.23954597920121
