video_id,feature,n_frames,open_mean,closed_mean,gap_open_minus_closed,separation_rough,acc_if_open_high,best_acc_allow_flip,direction
11,active_row_frac_fixed,1110,0.44824474751232557,0.4238135265171783,0.024431220995147274,0.27222842793560487,0.6837837837837838,0.6837837837837838,open_high
22,active_row_frac_fixed,924,0.42461200740839916,0.22128737340867186,0.2033246339997273,2.5092063674856218,0.9296536796536796,0.9296536796536796,open_high
33,active_row_frac_fixed,639,0.380669968717414,0.2474545739348371,0.13321539478257688,1.790469421050924,0.8247261345852895,0.8247261345852895,open_high
WIN_20260414_20_31_10_Pro,active_row_frac_fixed,729,0.399151559606588,0.33073772969052223,0.06841382991606576,0.48430900191021375,0.6570644718792867,0.6570644718792867,open_high
WIN_20260414_20_41_42_Pro,active_row_frac_fixed,669,0.3862090721082926,0.1547077922077922,0.23150127990050037,3.3909081533968086,0.929745889387145,0.929745889387145,open_high
WIN_20260414_20_42_23_Pro,active_row_frac_fixed,642,0.3617693013388377,0.1563681027966742,0.20540119854216352,3.463238440293693,0.9517133956386293,0.9517133956386293,open_high
WIN_20260414_21_29_13_Pro,active_row_frac_fixed,642,0.6706111870585555,0.701171875,-0.03056068794144451,-0.31773050740873293,0.4781931464174455,0.5218068535825545,closed_high
test1,active_row_frac_fixed,385,0.6049765952204976,0.37512846865364846,0.22984812656684916,2.3892546182705487,0.8883116883116883,0.8883116883116883,open_high
test2,active_row_frac_fixed,623,0.5504591747366314,0.46081709956709954,0.08964207516953188,0.5423525604533037,0.6837881219903692,0.6837881219903692,open_high
test3,active_row_frac_fixed,635,0.31085438534068677,0.28927211747643217,0.0215822678642546,0.29265175265530263,0.5779527559055118,0.5779527559055118,open_high
test4,active_row_frac_fixed,613,0.3086236433392832,0.40020625099159124,-0.09158260765230802,-0.7987765959133869,0.3066884176182708,0.6933115823817292,closed_high
11,center_dark_ratio_adapt,1110,0.23602116704653486,0.21607774469290553,0.019943422353629336,0.47418757688162894,0.7585585585585586,0.7585585585585586,open_high
22,center_dark_ratio_adapt,924,0.006143743836981148,0.0017968235063961543,0.004346920330584993,0.5527000262046812,0.577922077922078,0.577922077922078,open_high
33,center_dark_ratio_adapt,639,0.2685692972167854,0.27532623584610166,-0.006756938629316256,-0.1800748302136212,0.6165884194053208,0.6165884194053208,closed_high
WIN_20260414_20_31_10_Pro,center_dark_ratio_adapt,729,0.21866095289376916,0.18589943886674884,0.03276151402702032,0.5812091795565923,0.6378600823045267,0.6378600823045267,open_high
WIN_20260414_20_41_42_Pro,center_dark_ratio_adapt,669,0.2458896631024235,0.15052311696028273,0.09536654614214077,4.228884208368591,0.9312406576980568,0.9312406576980568,open_high
WIN_20260414_20_42_23_Pro,center_dark_ratio_adapt,642,0.2977079230916395,0.2548367113399793,0.0428712117516602,2.0535082747900204,0.8722741433021807,0.8722741433021807,open_high
WIN_20260414_21_29_13_Pro,center_dark_ratio_adapt,642,0.15328732725510097,0.10323781553867338,0.05004951171642759,1.132079628983691,0.705607476635514,0.705607476635514,open_high
test1,center_dark_ratio_adapt,385,0.25674373859751665,0.18546307964104997,0.07128065895646668,1.98352849652124,0.8467532467532467,0.8467532467532467,open_high
test2,center_dark_ratio_adapt,623,0.21526376574113648,0.20704542310751461,0.008218342633621867,0.20149046437690268,0.5120385232744783,0.5120385232744783,open_high
test3,center_dark_ratio_adapt,635,0.28319221628045155,0.22857021493928034,0.054622001341171206,1.7070682421867274,0.8645669291338582,0.8645669291338582,open_high
test4,center_dark_ratio_adapt,613,0.18587378049152894,0.1796542840521898,0.006219496439339139,0.29818907908430603,0.6296900489396411,0.6296900489396411,open_high
11,center_dark_ratio_fixed,1110,0.2230825955948205,0.16972525100779706,0.05335734458702343,0.9825394738724786,0.8558558558558559,0.8558558558558559,open_high
22,center_dark_ratio_fixed,924,0.1962304711443961,0.07813928252779055,0.11809118861660554,2.8718613301945384,0.9264069264069265,0.9264069264069265,open_high
33,center_dark_ratio_fixed,639,0.1671318830070798,0.1357379156695462,0.03139396733753358,0.6926984024013072,0.7276995305164319,0.7276995305164319,open_high
WIN_20260414_20_31_10_Pro,center_dark_ratio_fixed,729,0.18372043441382035,0.14197299235971791,0.04174744205410244,0.47736297255414367,0.6186556927297668,0.6186556927297668,open_high
WIN_20260414_20_41_42_Pro,center_dark_ratio_fixed,669,0.18129114726586235,0.0682487859239196,0.11304236134194275,3.3877234686802398,0.9207772795216741,0.9207772795216741,open_high
WIN_20260414_20_42_23_Pro,center_dark_ratio_fixed,642,0.19305762374519678,0.06173359280113093,0.13132403094406586,4.315548095187137,0.9439252336448598,0.9439252336448598,open_high
WIN_20260414_21_29_13_Pro,center_dark_ratio_fixed,642,0.4876024892259999,0.5046931440926539,-0.017090654866653954,-0.1912038117643432,0.6074766355140186,0.6074766355140186,closed_high
test1,center_dark_ratio_fixed,385,0.24198370076092687,0.20885966899620376,0.033124031764723116,0.5827753404350882,0.7116883116883117,0.7116883116883117,open_high
test2,center_dark_ratio_fixed,623,0.19979432277746495,0.19324109871959885,0.006553224057866097,0.09756652126418147,0.4767255216693419,0.5232744783306581,open_high
test3,center_dark_ratio_fixed,635,0.1039190983805542,0.11755162855789907,-0.013632530177344865,-0.40647714923665074,0.4377952755905512,0.5622047244094488,closed_high
test4,center_dark_ratio_fixed,613,0.030889987240571418,0.04596235352779856,-0.015072366287227142,-0.7225319293777797,0.36541598694942906,0.634584013050571,closed_high
11,col_run_max_fixed,1110,0.6643642526455026,0.36160643351654587,0.3027578191289567,2.2146911292020555,0.9333333333333333,0.9333333333333333,open_high
22,col_run_max_fixed,924,0.5939248151619286,0.2516877200248498,0.34223709513707884,3.2745513003952156,0.9188311688311688,0.9188311688311688,open_high
33,col_run_max_fixed,639,0.44452554744525546,0.276337940811625,0.16818760663363047,1.7445579620384641,0.7871674491392802,0.7871674491392802,open_high
WIN_20260414_20_31_10_Pro,col_run_max_fixed,729,0.5260482199575682,0.3533338706211046,0.17271434933646362,0.9591428670402895,0.6858710562414266,0.6858710562414266,open_high
WIN_20260414_20_41_42_Pro,col_run_max_fixed,669,0.48882364851184457,0.23062442607897157,0.25819922243287297,3.3856256937869658,0.9192825112107623,0.9192825112107623,open_high
WIN_20260414_20_42_23_Pro,col_run_max_fixed,642,0.5152652351327848,0.19071669071669073,0.32454854441609404,4.378056980559623,0.9376947040498442,0.9376947040498442,open_high
WIN_20260414_21_29_13_Pro,col_run_max_fixed,642,0.7320839978734716,0.7693452380952381,-0.03726124022176658,-0.2946244507743889,0.48598130841121495,0.514018691588785,closed_high
test1,col_run_max_fixed,385,0.6000112917795843,0.40441101664123247,0.19560027513835188,1.8179419609082614,0.8285714285714286,0.8285714285714286,open_high
test2,col_run_max_fixed,623,0.5563262684649969,0.4874523007856341,0.06887396767936277,0.37878721838971785,0.7319422150882825,0.7319422150882825,open_high
test3,col_run_max_fixed,635,0.40907245975739126,0.27018920166128285,0.1388832580961084,1.4470357863859706,0.7732283464566929,0.7732283464566929,open_high
test4,col_run_max_fixed,613,0.12019244578486284,0.18272251308900528,-0.06253006730414244,-0.9222617095381915,0.2724306688417618,0.7275693311582382,closed_high
11,col_run_mean_fixed,1110,0.2072860389691864,0.1693054589111462,0.0379805800580402,0.7327352955502755,0.8198198198198198,0.8198198198198198,open_high
22,col_run_mean_fixed,924,0.19158086396778254,0.07743746368584245,0.11414340028194009,2.82620628399134,0.9264069264069265,0.9264069264069265,open_high
33,col_run_mean_fixed,639,0.16639537296400042,0.1357379156695462,0.03065745729445421,0.6788323795679649,0.7198748043818466,0.7198748043818466,open_high
WIN_20260414_20_31_10_Pro,col_run_mean_fixed,729,0.1804703459249458,0.14151736086384697,0.038952985061098816,0.4477331640385805,0.6104252400548696,0.6104252400548696,open_high
WIN_20260414_20_41_42_Pro,col_run_mean_fixed,669,0.1756371951943811,0.0682487859239196,0.10738840927046149,3.2756675801350874,0.9162929745889388,0.9162929745889388,open_high
WIN_20260414_20_42_23_Pro,col_run_mean_fixed,642,0.1887914089978757,0.06173359280113093,0.12705781619674478,4.20258488242529,0.9470404984423676,0.9470404984423676,open_high
WIN_20260414_21_29_13_Pro,col_run_mean_fixed,642,0.46939089664509503,0.5034198264743608,-0.03402892982926575,-0.3989589645671207,0.5171339563862928,0.5171339563862928,closed_high
test1,col_run_mean_fixed,385,0.2278551324886601,0.2088505853540266,0.01900454713463351,0.37413063880499015,0.6623376623376623,0.6623376623376623,open_high
test2,col_run_mean_fixed,623,0.19402990378759455,0.192754144527049,0.0012757592605455448,0.019551451767349317,0.4510433386837881,0.5489566613162119,open_high
test3,col_run_mean_fixed,635,0.09367929192801608,0.11755162855789907,-0.023872336629882987,-0.7675551448050886,0.33700787401574805,0.662992125984252,closed_high
test4,col_run_mean_fixed,613,0.027670026270401358,0.038409789744868285,-0.010739763474466927,-0.6455546169405285,0.4192495921696574,0.5807504078303426,closed_high
11,col_run_topk_adapt,1110,0.5658336598647915,0.36196431519337546,0.20386934467141604,2.045713194306363,0.9297297297297298,0.9297297297297298,open_high
22,col_run_topk_adapt,924,0.020695294084235042,0.006852538639658127,0.013842755444576915,0.540631604784707,0.591991341991342,0.591991341991342,open_high
33,col_run_topk_adapt,639,0.4763940431620886,0.3884768124716956,0.08791723069039303,1.1446751765761358,0.758998435054773,0.758998435054773,open_high
WIN_20260414_20_31_10_Pro,col_run_topk_adapt,729,0.5163619210264845,0.40124911808825414,0.11511280293823034,0.7840028038859936,0.7311385459533608,0.7311385459533608,open_high
WIN_20260414_20_41_42_Pro,col_run_topk_adapt,669,0.4792301126655247,0.2820081952278922,0.19722191743763245,4.094455823209943,0.9252615844544095,0.9252615844544095,open_high
WIN_20260414_20_42_23_Pro,col_run_topk_adapt,642,0.530762077837133,0.3550436760313304,0.17571840180580262,3.2233114450451237,0.8878504672897196,0.8878504672897196,open_high
WIN_20260414_21_29_13_Pro,col_run_topk_adapt,642,0.4161308056642985,0.21194616051386886,0.20418464515042964,2.395822539775393,0.8566978193146417,0.8566978193146417,open_high
test1,col_run_topk_adapt,385,0.5178735069758106,0.32181850479212587,0.1960550021836847,2.8193730394144154,0.8545454545454545,0.8545454545454545,open_high
test2,col_run_topk_adapt,623,0.4896025325951758,0.4097568955548753,0.07984563704030045,0.7461843370751762,0.7881219903691814,0.7881219903691814,open_high
test3,col_run_topk_adapt,635,0.5064230768949186,0.3421125382419798,0.16431053865293882,3.128808046574857,0.9118110236220472,0.9118110236220472,open_high
test4,col_run_topk_adapt,613,0.3105289523535969,0.23767763649962603,0.07285131585397087,1.1635558197099203,0.632952691680261,0.632952691680261,open_high
11,col_run_topk_fixed,1110,0.5440514451878088,0.30513687387027527,0.23891457131753352,2.0544596627742053,0.9333333333333333,0.9333333333333333,open_high
22,col_run_topk_fixed,924,0.5393086630125056,0.17660765869504738,0.3627010043174582,3.7024313172222185,0.9155844155844156,0.9155844155844156,open_high
33,col_run_topk_fixed,639,0.39376168123126754,0.23643401960287924,0.1573276616283883,1.6190585282690049,0.8012519561815337,0.8012519561815337,open_high
WIN_20260414_20_31_10_Pro,col_run_topk_fixed,729,0.4446791693965271,0.2768852077892616,0.16779396160726545,1.0228580763609443,0.6419753086419753,0.6419753086419753,open_high
WIN_20260414_20_41_42_Pro,col_run_topk_fixed,669,0.39540852099315354,0.1782101862783681,0.21719833471478545,3.161615820144533,0.9073243647234679,0.9073243647234679,open_high
WIN_20260414_20_42_23_Pro,col_run_topk_fixed,642,0.4406049173893177,0.14230392867959007,0.2983009887097276,4.426920563167424,0.9470404984423676,0.9470404984423676,open_high
WIN_20260414_21_29_13_Pro,col_run_topk_fixed,642,0.6827857254093299,0.7138350894861311,-0.031049364076801145,-0.26678895114062995,0.5031152647975078,0.5031152647975078,closed_high
test1,col_run_topk_fixed,385,0.5129763876342468,0.34796122697801357,0.16501516065623323,1.6360281200008904,0.8025974025974026,0.8025974025974026,open_high
test2,col_run_topk_fixed,623,0.4423917784725282,0.36933932365178157,0.07305245482074663,0.5813862055085258,0.7367576243980738,0.7367576243980738,open_high
test3,col_run_topk_fixed,635,0.2609587851406725,0.22531946652082013,0.03563931861985237,0.5189695038846115,0.5889763779527559,0.5889763779527559,open_high
test4,col_run_topk_fixed,613,0.07003669053432086,0.10136811269010221,-0.031331422155781344,-0.8158853320106976,0.36541598694942906,0.634584013050571,closed_high
11,dark_ratio_fixed,1110,0.11763185809527228,0.0970388189308173,0.020593039164454985,0.7182743588006514,0.8648648648648649,0.8648648648648649,open_high
22,dark_ratio_fixed,924,0.10877381509555313,0.04133170055561231,0.06744211453994081,3.26990741934328,0.9545454545454546,0.9545454545454546,open_high
33,dark_ratio_fixed,639,0.09683619379494435,0.06771033447911112,0.029125859315833225,1.3686236586874565,0.7934272300469484,0.7934272300469484,open_high
