video_id,video_file,fps,total_frames_in_file,processed_frames,det_ok_frames,success_ratio,ear_avg_min_valid,ear_avg_max_valid,duration_sec_processed
11,11.mp4,30.0,1110,1110,1110,1.0,0.07669051756028998,0.4748581251100392,37.0
22,22.mp4,30.0,924,924,924,1.0,0.11888195860578318,0.310597153863098,30.8
33,33.mp4,29.824553215124176,639,639,639,1.0,0.1054836202055065,0.3272984851120404,21.4253
WIN_20260414_20_31_10_Pro,WIN_20260414_20_31_10_Pro.mp4,29.75842202803578,729,729,729,1.0,0.12692923507253984,0.4254999073206015,24.497266666666665
WIN_20260414_20_41_42_Pro,WIN_20260414_20_41_42_Pro.mp4,29.485263979056207,669,669,669,1.0,0.10098332531609078,0.30814482908720175,22.6893
WIN_20260414_20_42_23_Pro,WIN_20260414_20_42_23_Pro.mp4,29.48019347333619,642,642,642,1.0,0.11105610971974869,0.36879036404135357,21.777333333333335
WIN_20260414_21_29_13_Pro,WIN_20260414_21_29_13_Pro.mp4,29.87537964689349,642,642,642,1.0,0.10996852207405587,0.35943837050853666,21.489266666666666
test1,test1.mp4,28.77995420125037,385,385,385,1.0,0.09197735227254505,0.37637348032638307,13.377366666666667
test2,test2.mp4,29.318704831703734,623,623,623,1.0,0.10997983636820649,0.38033623046973036,21.249233333333333
test3,test3.mp4,29.5936121294973,635,635,635,1.0,0.053361906705323085,0.37550420439782123,21.45733333333333
test4,test4.mp4,29.61084889111347,633,633,633,1.0,0.1003886880855186,0.40667291896611657,21.3773
