video_id,frames_valid,roi_valid_rate,roi_update_count,manual_closed_frames,open_score_mean_open,open_score_mean_closed,open_score_gap_open_minus_closed,separation_rough,simple_threshold,simple_threshold_acc,dark_ratio_mean_open,dark_ratio_mean_closed,edge_density_mean_open,edge_density_mean_closed
11,1110,1.0,56,534,0.47703267991302944,0.5633363706385095,-0.08630369072548005,-0.7436814235836979,0.5201845252757695,0.2756756756756757,0.12390062899206337,0.11502410783325498,0.036117245856974775,0.0326979355159498
22,924,1.0,47,439,0.4807225421904053,0.30856933459162234,0.17215320759878294,1.8241783475199167,0.3946459383910138,0.8387445887445888,0.12662201242252683,0.04952485059612912,0.00031374057328308394,0.0003520296418205895
33,639,1.0,32,228,0.43075646980756477,0.33894537480063797,0.0918110950069268,1.1036899360928136,0.38485092230410134,0.7464788732394366,0.10882237184326846,0.09136949901080645,0.05333033045597802,0.07608832524240237
test1,385,1.0,20,139,0.6668466405503856,0.4853935033791149,0.18145313717127065,1.5621879396715148,0.5761200719647502,0.7948051948051948,0.1912285777223142,0.16685369191353305,0.05350512583173913,0.03298432469273189
test2,623,1.0,32,450,0.5925717472872932,0.5907676767676768,0.0018040705196163964,0.0114134359202884,0.591669712027485,0.5537720706260032,0.16411849500920062,0.16023458177446823,0.04802572643719627,0.03212020687763149
test3,635,1.0,32,197,0.42796221042435895,0.4443040356428682,-0.016341825218509243,-0.1432632536225908,0.43613312303361357,0.49921259842519683,0.07155657272264954,0.07470717395570338,0.12114413099839678,0.15164020986169888
test4,613,0.9684044233807267,30,202,0.31128373812843263,0.44703355607814854,-0.1357498179497159,-1.21655707914934,0.3791586471032906,0.25938009787928223,0.06705475340363869,0.11385952184487634,0.05835115832370501,0.05421907605559904
WIN_20260414_20_31_10_Pro,729,1.0,37,376,0.43339467185866304,0.3945683448806699,0.03882632697799315,0.2534169078126157,0.41398150836966646,0.6268861454046639,0.12035838728753052,0.11221893678871692,0.02051278846800393,0.009967724798182044
WIN_20260414_20_41_42_Pro,669,1.0,34,220,0.4511383838975856,0.22503013085399443,0.22610825304359117,2.9248332340350967,0.33808425737579,0.9282511210762332,0.11785398502802992,0.044377463099136594,0.03881964496505973,0.031277779395399094
WIN_20260414_20_42_23_Pro,642,1.0,33,189,0.4210481206276779,0.24174683341350006,0.17930128721417782,2.9494556024185234,0.33139747702058897,0.9454828660436138,0.1235274355558903,0.03909842729287174,0.0829835579968229,0.0664450159135439
WIN_20260414_21_29_13_Pro,642,1.0,33,224,0.7229111434630319,0.7888680330086579,-0.06595688954562606,-0.603387814972247,0.755889588235845,0.3956386292834891,0.36536780548096526,0.399017597293438,0.012785327964462188,0.010838321394261873
