video_id,source_path,frame_id,timestamp_sec,det_ok,dlib_update_ok,roi_age,frame_w,frame_h,eye_frame_w,eye_frame_h,eye_frame_orientation,dlib_decimate,eye_roi_shrink,fixed_thresh,adapt_offset,fixed_scale,label_name,label,left_pre_x,left_pre_y,left_pre_w,left_pre_h,right_pre_x,right_pre_y,right_pre_w,right_pre_h,left_x,left_y,left_w,left_h,right_x,right_y,right_w,right_h,eye_valid,feature0_q,feature1_q,eye_debug,low_pct,high_pct,left_t_low,left_t_high,right_t_low,right_t_high,left_q_dark,left_q_ref,right_q_dark,right_q_ref,left_contrast,right_contrast,left_center_w,left_center_h,right_center_w,right_center_h,robust_f0,robust_f1,svm_ready,svm_pred,svm_score_q
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,11,0.7333333333333333,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,103,169,69,14,204,171,69,14,103,169,69,14,204,171,69,14,1,3869,3592,690370355,10.0,60.0,51.0,55.0,38.0,41.0,47.0,63.0,35.0,47.0,16.0,12.0,55.0,9.0,55.0,9.0,0.944580078125,0.876953125,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,12,0.8,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,101,168,69,17,204,169,69,17,101,168,69,17,204,169,69,17,1,3755,2987,723990323,10.0,60.0,51.0,55.0,39.0,43.0,47.0,63.0,35.0,51.0,16.0,16.0,55.0,12.0,55.0,12.0,0.916748046875,0.729248046875,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,13,0.8666666666666667,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,105,167,68,17,203,168,69,17,105,167,68,17,203,168,69,17,1,3755,3243,791362359,10.0,60.0,55.0,59.0,43.0,47.0,51.0,67.0,39.0,55.0,16.0,16.0,54.0,12.0,55.0,12.0,0.916748046875,0.791748046875,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,14,0.9333333333333333,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,100,170,69,18,197,170,72,18,100,170,69,18,197,170,72,18,1,3309,3154,791231287,10.0,60.0,55.0,59.0,41.0,47.0,51.0,67.0,35.0,59.0,16.0,24.0,55.0,13.0,58.0,13.0,0.807861328125,0.77001953125,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,15,1.0,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,102,169,68,18,199,171,72,17,102,169,68,18,199,171,72,17,1,3781,3418,824983355,10.0,60.0,59.0,63.0,44.0,49.0,55.0,71.0,39.0,59.0,16.0,20.0,54.0,13.0,58.0,12.0,0.923095703125,0.83447265625,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,16,1.0666666666666667,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,104,171,68,14,203,171,69,17,104,171,68,14,203,171,69,17,1,3869,3418,858733367,10.0,60.0,55.0,59.0,47.0,51.0,51.0,67.0,43.0,59.0,16.0,16.0,54.0,9.0,55.0,12.0,0.944580078125,0.83447265625,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,17,1.1333333333333333,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,104,169,68,18,200,169,69,18,104,169,68,18,200,169,69,18,1,3466,3117,925975359,10.0,60.0,63.0,67.0,49.0,55.0,59.0,75.0,43.0,67.0,16.0,24.0,54.0,13.0,55.0,13.0,0.84619140625,0.760986328125,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,18,1.2,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,104,170,68,17,200,170,72,18,104,170,68,17,200,170,72,18,1,3755,3258,892355391,10.0,60.0,63.0,67.0,48.0,53.0,59.0,75.0,43.0,63.0,16.0,20.0,54.0,12.0,58.0,13.0,0.916748046875,0.79541015625,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,19,1.2666666666666666,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,105,167,69,18,202,169,69,18,105,167,69,18,202,169,69,18,1,3309,3173,959726912,10.0,60.0,64.0,69.0,52.0,57.0,59.0,79.0,47.0,67.0,20.0,20.0,55.0,13.0,55.0,13.0,0.807861328125,0.774658203125,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,20,1.3333333333333333,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,105,169,68,14,204,169,69,17,105,169,68,14,204,169,69,17,1,3869,3621,959726399,10.0,60.0,63.0,67.0,52.0,57.0,59.0,75.0,47.0,67.0,16.0,20.0,54.0,9.0,55.0,12.0,0.944580078125,0.884033203125,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,21,1.4,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,107,166,68,17,204,167,72,18,107,166,68,17,204,167,72,18,1,3755,3221,959727940,10.0,60.0,68.0,73.0,52.0,57.0,63.0,83.0,47.0,67.0,20.0,20.0,54.0,12.0,58.0,13.0,0.916748046875,0.786376953125,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,22,1.4666666666666666,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,107,165,67,17,204,166,69,17,107,165,67,17,204,166,69,17,1,3926,3231,959727940,10.0,60.0,68.0,73.0,52.0,57.0,63.0,83.0,47.0,67.0,20.0,20.0,53.0,12.0,55.0,12.0,0.95849609375,0.788818359375,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,23,1.5333333333333334,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,106,166,68,14,204,166,72,17,106,166,68,14,204,166,72,17,1,3471,3485,1027098433,10.0,60.0,65.0,71.0,56.0,61.0,59.0,83.0,51.0,71.0,24.0,20.0,54.0,9.0,58.0,12.0,0.847412109375,0.850830078125,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,24,1.6,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,107,167,67,11,207,168,68,11,107,167,67,11,207,168,68,11,1,3328,3474,959857984,10.0,60.0,64.0,69.0,54.0,57.0,59.0,79.0,51.0,63.0,20.0,12.0,53.0,8.0,54.0,8.0,0.8125,0.84814453125,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,25,1.6666666666666667,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,114,163,63,17,207,164,64,17,114,163,63,17,207,164,64,17,1,3755,3309,1027098948,10.0,60.0,68.0,73.0,56.0,61.0,63.0,83.0,51.0,71.0,20.0,20.0,51.0,12.0,52.0,12.0,0.916748046875,0.807861328125,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,26,1.7333333333333334,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,105,165,67,17,202,166,72,14,105,165,67,17,202,166,72,14,1,3414,3113,959859525,10.0,60.0,69.0,75.0,54.0,57.0,63.0,87.0,51.0,63.0,24.0,12.0,53.0,12.0,58.0,9.0,0.83349609375,0.760009765625,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,27,1.8,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,113,162,64,18,208,164,64,17,113,162,64,18,208,164,64,17,1,3453,3200,993479493,10.0,60.0,69.0,75.0,55.0,59.0,63.0,87.0,51.0,67.0,24.0,16.0,52.0,13.0,52.0,12.0,0.843017578125,0.78125,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,28,1.8666666666666667,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,105,166,67,11,202,166,69,14,105,166,67,11,202,166,69,14,1,3840,3751,993478465,10.0,60.0,65.0,71.0,55.0,59.0,59.0,83.0,51.0,67.0,24.0,16.0,53.0,8.0,55.0,9.0,0.9375,0.915771484375,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,29,1.9333333333333333,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,103,165,68,14,203,167,69,11,103,165,68,14,203,167,69,11,1,3641,3338,926107972,10.0,60.0,68.0,73.0,51.0,55.0,63.0,83.0,47.0,63.0,20.0,16.0,54.0,9.0,55.0,8.0,0.888916015625,0.81494140625,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,30,2.0,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,108,166,64,11,201,166,68,10,108,166,64,11,201,166,68,10,1,3840,3425,926106944,10.0,60.0,64.0,69.0,51.0,55.0,59.0,79.0,47.0,63.0,20.0,16.0,52.0,8.0,54.0,7.0,0.9375,0.836181640625,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,31,2.066666666666667,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,108,166,67,11,205,166,67,11,108,166,67,11,205,166,67,11,1,3840,3548,959857984,10.0,60.0,64.0,69.0,54.0,57.0,59.0,79.0,51.0,63.0,20.0,12.0,53.0,8.0,53.0,8.0,0.9375,0.8662109375,0,-1,0
