video_id,feature,n_frames,open_mean,closed_mean,gap_open_minus_closed,separation_rough,acc_if_open_high,best_acc_allow_flip,direction
11,active_row_frac_fixed,1110,0.4343323018127706,0.40738641430354916,0.026945887509221444,0.3070108692830222,0.6855855855855856,0.6855855855855856,open_high
22,active_row_frac_fixed,924,0.4345561654840005,0.22718027985681746,0.20737588562718304,2.254564820627139,0.8841991341991342,0.8841991341991342,open_high
WIN_20260414_20_31_10_Pro,active_row_frac_fixed,729,0.4029942790920128,0.3482876830616192,0.05470659603039357,0.3802833778478834,0.6282578875171467,0.6282578875171467,open_high
WIN_20260414_21_29_13_Pro,active_row_frac_fixed,642,0.6793106215953104,0.8213609307359307,-0.14205030914062033,-1.493130620194131,0.17289719626168223,0.8271028037383178,closed_high
test1,active_row_frac_fixed,385,0.6147964840038012,0.4293422404933196,0.18545424351048156,1.7048328172723308,0.8285714285714286,0.8285714285714286,open_high
test2,active_row_frac_fixed,623,0.5683945149263068,0.47964285714285715,0.08875165778344962,0.5823307281926522,0.6709470304975923,0.6709470304975923,open_high
test3,active_row_frac_fixed,626,0.21959328550237642,0.18485342914276923,0.03473985635960719,0.3517212951557865,0.5782747603833865,0.5782747603833865,open_high
11,center_dark_ratio_adapt,1110,0.22437110850257533,0.20431087127375663,0.020060237228818695,0.49596640595643376,0.7603603603603604,0.7603603603603604,open_high
22,center_dark_ratio_adapt,924,0.0028867944023703773,0.0004922061201154002,0.002394588282254977,0.4137130408765572,0.5562770562770563,0.5562770562770563,open_high
WIN_20260414_20_31_10_Pro,center_dark_ratio_adapt,729,0.21280117283636776,0.18189809058848913,0.030903082247878633,0.5260856138222151,0.6570644718792867,0.6570644718792867,open_high
WIN_20260414_21_29_13_Pro,center_dark_ratio_adapt,642,0.13464156684757303,0.06581882418169056,0.06882274266588247,1.9823243882982706,0.8598130841121495,0.8598130841121495,open_high
test1,center_dark_ratio_adapt,385,0.24665737104997468,0.18521888371655615,0.06143848733341853,1.7019543022641748,0.8,0.8,open_high
test2,center_dark_ratio_adapt,623,0.20296064349073972,0.19905612931864222,0.0039045141720975007,0.08421615344722828,0.5008025682182986,0.5008025682182986,open_high
test3,center_dark_ratio_adapt,626,0.2540799527764768,0.18489998479577066,0.06917996798070616,2.694566924962213,0.9089456869009584,0.9089456869009584,open_high
11,center_dark_ratio_fixed,1110,0.2015245520986335,0.1494794395390261,0.05204511255960742,1.0909911515423862,0.8693693693693694,0.8693693693693694,open_high
22,center_dark_ratio_fixed,924,0.18990363180781097,0.06697234027472816,0.12293129153308281,2.673095335354203,0.922077922077922,0.922077922077922,open_high
WIN_20260414_20_31_10_Pro,center_dark_ratio_fixed,729,0.1736829018192481,0.13845801681986894,0.03522488499937915,0.39207176640323604,0.6159122085048011,0.6159122085048011,open_high
WIN_20260414_21_29_13_Pro,center_dark_ratio_fixed,642,0.5128313444145448,0.44593041901985464,0.06690092539469017,0.690606380076919,0.7554517133956387,0.7554517133956387,open_high
test1,center_dark_ratio_fixed,385,0.23264362958847778,0.17759674613250573,0.05504688345597206,1.2771284830974288,0.8337662337662337,0.8337662337662337,open_high
test2,center_dark_ratio_fixed,623,0.18484770239096548,0.1787475781824337,0.0061001242085317875,0.09115760318737681,0.5393258426966292,0.5393258426966292,open_high
